villageId,gazetteerName,gazetteerId,category1,category2,startYear,endYear,data,unit
110106202201,黄土岗村志,13,入伍 Military Enlistment,null,1949,1949,5.0,人数 Number of People
110106202201,黄土岗村志,13,入伍 Military Enlistment,null,1956,1956,2.0,人数 Number of People
110106202201,黄土岗村志,13,新党员 New CCP Membership,总 Total,1949,1966,35.0,人数 Number of People
410581106229,桑耳庄村志,14,阶级成分 Class Status,中农 Middle Peasant,1949,1949,86.0,户数 Number of Households
410581106229,桑耳庄村志,14,阶级成分 Class Status,贫下中农 Poor and Lower Middle Peasant,1949,1949,215.0,户数 Number of Households
410581106229,桑耳庄村志,14,阶级成分 Class Status,中农 Middle Peasant,1949,1949,86.0,户数 Number of Households
410581106229,桑耳庄村志,14,阶级成分 Class Status,贫下中农 Poor and Lower Middle Peasant,1949,1949,215.0,户数 Number of Households
410581106229,桑耳庄村志,14,入伍 Military Enlistment,null,1955,2000,100.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,女 Female,1944,1949,8.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,总 Total,1944,1949,36.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,男 Male,1944,1949,28.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,女 Female,1950,1965,2.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,总 Total,1950,1965,22.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,男 Male,1950,1965,20.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,女 Female,1944,1949,8.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,总 Total,1944,1949,36.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,男 Male,1944,1949,28.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,女 Female,1950,1965,2.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,总 Total,1950,1965,22.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,男 Male,1950,1965,20.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,女 Female,1944,1949,8.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,总 Total,1944,1949,36.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,男 Male,1944,1949,28.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,女 Female,1950,1965,2.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,总 Total,1950,1965,22.0,人数 Number of People
410581106229,桑耳庄村志,14,新党员 New CCP Membership,男 Male,1950,1965,20.0,人数 Number of People
