id,name,pinyin
1,万年县,Wannian Xian
2,上杭县,Shanghang Xian
3,下城区,Xiacheng Qu
4,东丽区,Dongli Qu
5,东平县,Dongping Xian
6,东港区,Donggang Qu
7,东港市,Donggang Shi
8,东莞市,Dongguan Shi
9,东营区,Dongying Qu
10,东阳市,Dongyang Shi
11,东阿县,Donge Xian
12,中原区,Zhongyuan Qu
13,中山市,Zhongshan Shi
14,中牟县,Zhongmu Xian
15,丰南区,Fengnan Qu
16,丰台区,Fengtai Qu
17,丰宁满族自治县,Fengning Manzu Zizhixian
18,丰满区,Fengman Qu
19,丰顺县,Fengshun Xian
20,临县,Lin Xian
21,临城县,Lincheng Xian
22,临夏县,Linxia Xian
23,临安市,Lin'an Shi
24,临朐县,Linqu Xian
25,临武县,Linwu Xian
26,临泽县,Linze Xian
27,临淄区,Linzi Qu
28,临渭区,Linwei Qu
29,临漳县,Linzhang Xian
30,临猗县,Linyi Xian
31,临西县,Linxi Xian
32,丹阳市,Danyang Shi
33,义乌市,Yiwu Shi
34,义安区,Yian Qu
35,义马市,Yima Shi
36,乐东黎族自治区,Ledong Lizu Zizhiqu
37,乐清市,Yueqing Shi
38,乐至县,Lezhi Xian
39,乐都县,Ledu Xian
40,乐陵市,Laoling Shi
41,习水县,Xishui Xian
42,乡宁县,Xiangning Xian
43,二七区,Erqi Qu
44,二道区,Erdao Qu
45,云龙区,Yunlong Qu
46,五华区,Wuhua Qu
47,五华县,Wuhua Xian
48,五台县,Wutai Xian
49,五峰土家族自治县,Wufeng Tujiazu Zizhixian
50,井研县,Jingyan Xian
51,井陉县,Jingxing Xian
52,井陉矿区,Jingxing Kuangqu
53,交口县,Jiaokou Xian
54,交城县,JIaocheng Xian
55,京山县,Jingshan Xian
56,仁化县,Renhua Xian
57,仓山区,Cangshan Qu
58,仙游县,Xianyou Xian
59,仪陇县,Yilong Xian
60,任丘市,Renqiu Shi
61,任城区,Rencheng Qu
62,会泽县,Huize Xian
63,余姚市,Yuyao Shi
64,余杭区,Yuhang Qu
65,佳县,Jia Xian
66,侯马市,Houma Shi
67,保康县,Baokang Xian
68,修文县,Xiuwen Xian
69,修武县,Xiuwu Xian
70,偃师市,Yanshi Shi
71,元氏区,Yuanshi Qu
72,八步区,Babu Qu
73,公安县,Gongan Xian
74,兰坪白族普米族自治县,Lanping Baizu Pumizu Zizhixian
75,兰溪市,Lanxi Shi
76,兴义市,Xingyi Shi
77,兴化市,Xinghua Shi
78,兴宁市,Xingning Shi
79,兴平市,Xingping Shi
80,兴隆台区,Xinglongtai Qu
81,内乡县,Neixiang Xian
82,内黄县,Neihuang Xian
83,凌源市,Lingyuan Shi
84,凤凰县,Fenghuang Xian
85,凤城市,Fengcheng Shi
86,凤庆县,Fengqing Xian
87,凤泉区,Fengquan Qu
88,剑川县,Jianchuan Xian
89,剑河县,Jianhe Xian
90,北湖区,Beihu Qu
91,北辰区,Beichen Qu
92,华龙区,Hualong Qu
93,南山区,Nanshan Qu
94,南市区,Nanshi Qu
95,南昌县,Nanchang Xian
96,南江县,Nanjiang Xian
97,南浔区,Nanxun Qu
98,南海区,Nanhai Qu
99,南部县,Nanbu Xian
100,博兴县,Boxing Xian
101,博山区,Boshan Qu
102,卢氏县,Lushi Xian
103,卫滨区,Weibin Qu
104,即墨市,Jimo Shi
105,历下区,Lixia Qu
