gazetteerId,villageInnerId,categoryId,startYear,endYear,unitId,data
2.0,2.0,40,2007.0,2007.0,1,35.0
4.0,4.0,40,1978.0,1978.0,1,12.12
4.0,4.0,40,2007.0,2007.0,1,109.57
7.0,7.0,40,2001.0,2001.0,1,33.0
9.0,9.0,40,1995.0,1995.0,1,15.0
13.0,13.0,40,1987.0,1987.0,1,20.0
14.0,14.0,40,2000.0,2000.0,1,86.0
26.0,26.0,40,2000.0,2000.0,1,14.0
28.0,28.0,40,2009.0,2009.0,1,20.0
30.0,30.0,40,1980.0,1980.0,1,8.0
30.0,30.0,40,1985.0,1985.0,1,15.0
30.0,30.0,40,1990.0,1990.0,1,30.0
30.0,30.0,40,1995.0,1995.0,1,35.0
30.0,30.0,40,2000.0,2000.0,1,45.0
30.0,30.0,40,2004.0,2004.0,1,50.0
34.0,34.0,40,2007.0,2007.0,1,32.5
36.0,36.0,40,2008.0,2008.0,1,43.0
37.0,37.0,40,1997.0,1997.0,1,43.33
41.0,41.0,40,1949.0,1949.0,1,9.5
41.0,41.0,40,2001.0,2001.0,1,21.6
44.0,44.0,40,1981.0,1981.0,1,17.0
44.0,44.0,40,1998.0,1998.0,1,28.0
44.0,44.0,40,2009.0,2009.0,1,32.0
45.0,45.0,40,2003.0,2003.0,1,20.0
46.0,46.0,40,1984.0,1984.0,1,20.65
46.0,46.0,40,1988.0,1988.0,1,23.0
46.0,46.0,40,1991.0,1991.0,1,26.0
49.0,49.0,40,2009.0,2009.0,1,55.59
54.0,54.0,40,1984.0,1984.0,1,21.0
54.0,54.0,40,2010.0,2010.0,1,34.0
57.0,57.0,40,1992.0,1992.0,1,15.0
57.0,57.0,40,1999.0,1999.0,1,17.0
60.0,60.0,40,2002.0,2002.0,1,39.4
63.0,63.0,40,1997.0,1997.0,1,31.0
64.0,64.0,40,2005.0,2005.0,1,45.0
73.0,73.0,40,1949.0,1949.0,1,5.5
73.0,73.0,40,1990.0,1990.0,1,30.0
76.0,76.0,40,1950.0,1950.0,1,10.0
76.0,76.0,40,1984.0,1984.0,1,13.8
76.0,76.0,40,1987.0,1987.0,1,28.4
76.0,76.0,40,2009.0,2009.0,1,31.0
78.0,78.0,40,1991.0,1991.0,2,18.0
78.0,78.0,40,1995.0,1995.0,2,26.0
78.0,78.0,40,2003.0,2003.0,2,31.0
81.0,81.0,40,1987.0,1987.0,1,17.0
81.0,81.0,40,1988.0,1988.0,1,20.0
93.0,93.0,40,2005.0,2005.0,1,43.19
96.0,96.0,40,1993.0,1993.0,1,15.4
99.0,99.0,40,2011.0,2011.0,1,39.17
103.0,103.0,40,2007.0,2007.0,1,14.0
108.0,108.0,40,2007.0,2007.0,1,12.0
121.0,121.0,40,2001.0,2001.0,1,50.0
128.0,128.0,40,1989.0,1989.0,1,24.39
132.0,132.0,40,2010.0,2010.0,1,28.0
133.0,133.0,40,1987.0,1987.0,1,7.0
133.0,133.0,40,2002.0,2002.0,1,15.0
137.0,137.0,40,2005.0,2005.0,1,30.0
141.0,141.0,40,2010.0,2010.0,1,122.0
142.0,142.0,40,1984.0,1984.0,1,10.9
142.0,142.0,40,1996.0,1996.0,1,24.3
142.0,142.0,40,2009.0,2009.0,1,35.0
156.0,156.0,40,1992.0,1992.0,1,15.0
156.0,156.0,40,2010.0,2010.0,1,30.0
158.0,158.0,40,1989.0,1989.0,1,16.0
158.0,158.0,40,2007.0,2007.0,1,46.8
160.0,160.0,40,1998.0,1998.0,1,23.0
164.0,164.0,40,1990.0,1990.0,1,21.0
164.0,164.0,40,1995.0,1995.0,1,24.1
164.0,164.0,40,1998.0,1998.0,1,29.0
164.0,164.0,40,2000.0,2000.0,1,30.9
164.0,164.0,40,2003.0,2003.0,1,34.5
164.0,164.0,40,2004.0,2004.0,1,43.7
164.0,164.0,40,2005.0,2005.0,1,45.0
173.0,173.0,40,2008.0,2008.0,1,45.4
174.0,174.0,40,1982.0,1982.0,1,13.55
174.0,174.0,40,1984.0,1984.0,1,13.85
174.0,174.0,40,2002.0,2002.0,1,26.9
187.0,187.0,40,1998.0,1998.0,1,34.0
192.0,192.0,40,2007.0,2007.0,1,72.0
201.0,201.0,40,1992.0,1992.0,1,50.0
215.0,215.0,40,1949.0,1949.0,1,2.1
215.0,215.0,40,2001.0,2001.0,1,31.46
218.0,218.0,40,1951.0,1951.0,1,16.0
218.0,218.0,40,1984.0,1984.0,1,22.1
219.0,219.0,40,2000.0,2000.0,1,20.0
219.0,219.0,40,2010.0,2010.0,1,30.0
221.0,221.0,40,2011.0,2011.0,1,52.9
228.0,228.0,40,2010.0,2010.0,1,45.0
229.0,229.0,40,1950.0,1950.0,1,11.0
229.0,229.0,40,2007.0,2007.0,1,30.0
234.0,234.0,40,1953.0,1953.0,1,6.84
234.0,234.0,40,2003.0,2003.0,1,65.0
242.0,242.0,40,1989.0,1989.0,1,40.0
242.0,242.0,40,2010.0,2010.0,1,60.0
245.0,245.0,40,1996.0,1996.0,1,18.6
247.0,247.0,40,2010.0,2010.0,1,41.44
249.0,249.0,40,1977.0,1977.0,1,20.4
249.0,249.0,40,1982.0,1982.0,1,32.8
249.0,249.0,40,2012.0,2012.0,1,64.18
250.0,250.0,40,2010.0,2010.0,1,85.9
253.0,253.0,40,2011.0,2011.0,1,70.13
260.0,260.0,40,1949.0,1949.0,1,11.5
260.0,260.0,40,1978.0,1978.0,1,14.6
260.0,260.0,40,1992.0,1992.0,1,59.3
260.0,260.0,40,1999.0,1999.0,1,74.84
266.0,266.0,40,1957.0,1957.0,1,10.5
