gazetteerId,villageInnerId,categoryId,startYear,endYear,unitId,data
2,2,8,2006.0,2006.0,1,279.0
4,4,8,1987.0,1987.0,1,383.0
4,4,8,1988.0,1988.0,1,372.0
4,4,8,1989.0,1989.0,1,364.0
4,4,8,1990.0,1990.0,1,350.0
4,4,8,1991.0,1991.0,1,129.0
4,4,8,1992.0,1992.0,1,22.0
4,4,8,1993.0,1993.0,1,22.0
4,4,8,1994.0,1994.0,1,42.0
4,4,8,1995.0,1995.0,1,56.0
4,4,8,1996.0,1996.0,1,75.0
4,4,8,1997.0,1997.0,1,111.0
4,4,8,1998.0,1998.0,1,146.0
4,4,8,1999.0,1999.0,1,107.0
4,4,8,2000.0,2000.0,1,125.0
4,4,8,2001.0,2001.0,1,98.0
4,4,8,2002.0,2002.0,1,124.0
4,4,8,2003.0,2003.0,1,165.0
4,4,8,2004.0,2004.0,1,161.0
4,4,8,2005.0,2005.0,1,151.0
4,4,8,2006.0,2006.0,1,139.0
4,4,8,2007.0,2007.0,1,64.0
9,9,8,2007.0,2007.0,1,152.0
13,13,8,1990.0,1990.0,1,289.0
13,13,8,2003.0,2003.0,1,459.0
13,13,8,2004.0,2004.0,1,452.0
14,14,8,2000.0,2000.0,1,151.0
30,30,8,2004.0,2004.0,1,28.0
31,31,8,2007.0,2007.0,1,92.0
31,31,8,2009.0,2009.0,1,26.0
34,34,8,1980.0,1980.0,1,243.0
34,34,8,1981.0,1981.0,1,241.0
34,34,8,1982.0,1982.0,1,240.0
34,34,8,1983.0,1983.0,1,235.0
34,34,8,1984.0,1984.0,1,230.0
34,34,8,1985.0,1985.0,1,227.0
34,34,8,1986.0,1986.0,1,234.0
34,34,8,1987.0,1987.0,1,236.0
34,34,8,1988.0,1988.0,1,237.0
34,34,8,1989.0,1989.0,1,239.0
34,34,8,1990.0,1990.0,1,238.0
34,34,8,1991.0,1991.0,1,241.0
34,34,8,1992.0,1992.0,1,238.0
34,34,8,1993.0,1993.0,1,236.0
34,34,8,1994.0,1994.0,1,236.0
34,34,8,1995.0,1995.0,1,238.0
34,34,8,1996.0,1996.0,1,237.0
34,34,8,1997.0,1997.0,1,243.0
34,34,8,1998.0,1998.0,1,241.0
34,34,8,1999.0,1999.0,1,240.0
34,34,8,2000.0,2000.0,1,236.0
34,34,8,2001.0,2001.0,1,234.0
34,34,8,2002.0,2002.0,1,237.0
