gazetteerId,villageInnerId,categoryId,unitId,data
1.0,1.0,3,1,14
3.0,3.0,3,1,15
4.0,4.0,3,1,21.6
5.0,5.0,3,1,12.2
6.0,6.0,3,1,12.7
7.0,7.0,3,1,11.5
8.0,8.0,3,1,15.7
9.0,9.0,3,1,13
10.0,10.0,3,1,NULL
11.0,11.0,3,1,22
12.0,12.0,3,1,NULL
13.0,13.0,3,1,13.7
14.0,14.0,3,1,12
16.0,16.0,3,1,22.4
17.0,17.0,3,1,11.4
18.0,18.0,3,1,11.6
19.0,19.0,3,1,NULL
20.0,20.0,3,1,NULL
21.0,21.0,3,1,NULL
22.0,22.0,3,1,13.2
23.0,23.0,3,1,19.3
24.0,24.0,3,1,22
26.0,26.0,3,1,21.8
29.0,29.0,3,1,NULL
30.0,30.0,3,1,14
31.0,31.0,3,1,13.2
32.0,32.0,3,1,15.5
34.0,34.0,3,1,5.7
35.0,35.0,3,1,21
36.0,36.0,3,1,15.5
37.0,37.0,3,1,13.45
40.0,40.0,3,1,16.7
41.0,41.0,3,1,23.5
42.0,42.0,3,1,16
44.0,44.0,3,1,13.7
45.0,45.0,3,1,NULL
47.0,47.0,3,1,16.18
48.0,48.0,3,1,11.8
49.0,49.0,3,1,16.4
52.0,52.0,3,1,10.25
53.0,53.0,3,1,15.9
54.0,54.0,3,1,13.5
56.0,56.0,3,1,13.5
58.0,58.0,3,1,10
59.0,59.0,3,1,15.6
61.0,61.0,3,1,12
62.0,62.0,3,1,NULL
63.0,63.0,3,1,12
64.0,64.0,3,1,NULL
67.0,67.0,3,1,13
69.0,69.0,3,1,NULL
70.0,70.0,3,1,9
71.0,71.0,3,1,10.7
72.0,72.0,3,1,16
74.0,74.0,3,1,11.8
75.0,75.0,3,1,NULL
76.0,76.0,3,1,11.6
77.0,77.0,3,1,10.2
78.0,78.0,3,1,10.3
80.0,80.0,3,1,NULL
82.0,82.0,3,1,8.1
83.0,83.0,3,1,11
84.0,84.0,3,1,20.1
85.0,85.0,3,1,21.4
87.0,87.0,3,1,NULL
88.0,88.0,3,1,11.9°
91.0,91.0,3,1,14.67
92.0,92.0,3,1,NULL
93.0,93.0,3,1,11.1
94.0,94.0,3,1,NULL
95.0,95.0,3,1,17
96.0,96.0,3,1,11.6
97.0,97.0,3,1,16.6
98.0,98.0,3,1,21
99.0,99.0,3,1,15
100.0,100.0,3,1,NULL
113.0,113.0,3,1,NULL
115.0,115.0,3,1,16.4
116.0,116.0,3,1,16.5
117.0,117.0,3,1,NULL
119.0,119.0,3,1,16.5
121.0,121.0,3,1,NULL
123.0,123.0,3,1,-0.4
