villageInnerId_村庄内部代码,gazetteerId_村志代码,villageId_村庄代码,nameChineseCharacters_村名汉字,nameHanyuPinyin_村名汉语拼音
1.0,1.0,411082100218,太平店村,Taipingdian Cun
2.0,2.0,420116403201,叶店村,Yedian Cun
3.0,3.0,522328102210,马鞭田村,Mabiantian Cun
4.0,4.0,450107002201,万秀村,Wanxiu Cun
5.0,5.0,130632200207,光淀村,Guangdian Cun
6.0,6.0,130522201225,方等村,Fangdeng Cun
7.0,7.0,NULL,渔津洼村,Yujinwa Cun
8.0,8.0,532530101211,板板桥村,Banbanqiao Cun
9.0,9.0,130535100213,仓上村,Cangshang Cun
10.0,10.0,110105038210,草场地村,Caochangdi Cun
11.0,11.0,441900110202,桥梓村,Qiaozi Cun
12.0,12.0,NULL,东侯坊村,Donghoufang Cun
13.0,13.0,110106202201,黄土岗村,Huangtugang Cun
14.0,14.0,410581106229,桑耳庄村,Sang'erzhuang Cun
15.0,15.0,110111209207,三合村,Sanhe Cun
16.0,16.0,NULL,上梅林村,Shangmeilin Cun
17.0,17.0,110114007206,单家村,Shanjia Cun
18.0,18.0,370687001201,生产村,Shengchan Cun
19.0,19.0,310120501203,树园村,Shuyuan Cun
20.0,20.0,110115005206,西黄村,Xihuang Cun
21.0,21.0,110111110212,张坊村,Zhangfang Cun
22.0,22.0,370921107223,张家圩子村,Zhangjiaweizi Cun
23.0,23.0,350702105207,凤池村,Fengchi Cun
24.0,24.0,440306007015,楼村,Lou Cun
25.0,25.0,520121206201,马头村,Matou Cun
26.0,26.0,450109100203,孟莲村,Menglian Cun
27.0,27.0,460201104001,马岭村,Maling Cun
28.0,28.0,350822103222,莲塘村,Liantang Cun
29.0,29.0,NULL,刘国忠村,Liuguozhong Cun
30.0,30.0,520402006203,管元村,Guanyuan Cun
31.0,31.0,130107101003,南凤山村,Nanfengshan Cun
32.0,32.0,310112107204,井亭村,Jingting Cun
33.0,33.0,130129100206,见守村,Jianshou Cun
34.0,34.0,220105100208,胡家村,Hujia Cun
35.0,35.0,350212108003,洪塘头村,Hongtangtou Cun
36.0,36.0,320412100223,周家巷村,Zhoujiaxiang Cun
37.0,37.0,610303100007,联盟村,Lianmeng Cun
38.0,38.0,130983204216,梁口村,Liangkou Cun
39.0,39.0,310230113210,骏马村,Junma Cun
40.0,40.0,430702205205,金家坪村,Jinjiaping Cun
41.0,41.0,469023100204,博谭村,Botan Cun
42.0,42.0,310112107205,新桥村,Xinqiao Cun
43.0,43.0,110108104213,草厂村,Caochang Cun
44.0,44.0,410526201201,大吕庄村,Dalüzhuang Cun
45.0,45.0,620724201200,定安村,Ding'an Cun
46.0,46.0,210212400204,方家村,Fangjia Cun
47.0,47.0,310120502002,冯桥村,Fengqiao Cun
48.0,48.0,110106201215,小瓦窑村,Xiaowayao Cun
49.0,49.0,330621103235,富强村,Fuqiang Cun
50.0,50.0,350181007201,音西村,Yinxi Cun
51.0,51.0,445221112203,潭前王村,Tanqianwang Cun
52.0,52.0,210212012206,郭家沟村,Guojiagou Cun
53.0,53.0,320412109234,牟家村,Moujia Cun
54.0,54.0,410523204205,西官庄村,Xiguanzhuang Cun
55.0,55.0,350111101201,西园村,Xiyuan Cun
56.0,56.0,NULL,沐陂村,Mubei Cun
57.0,57.0,420626107221,尧治河村,Yaozhihe Cun
58.0,58.0,210212013204,袁家沟村,Yuanjiagou Cun
59.0,59.0,410883100218,云水村,Yunshui Cun
60.0,60.0,440605125226,平地村,Pingdi Cun
61.0,61.0,130604200205,西高庄村,Xigaozhuang Cun
62.0,62.0,420114070220,新华村,Xinhua Cun
63.0,63.0,410581106218,盘山村,Panshan Cun
64.0,64.0,110106201203,三路居村,Sanluju Cun
65.0,65.0,110116103202,仙台村,Xiantai Cun
66.0,66.0,110111208202,四马台村,Simatai Cun
67.0,67.0,130429200212,西洞头村,Xidongtou Cun
68.0,68.0,522629104218,五河苗族村,Wuhe Miaozu Cun
69.0,69.0,610112002201,五一村,Wuyi Cun
70.0,70.0,140322101211,乌玉村,Wuyu Cun
71.0,71.0,210212005200,前夹山村,Qianjiashan Cun
72.0,72.0,330108003201,浦联村,Pulian Cun
73.0,73.0,370783006232,三元朱村,Sanyuanzhu Cun
74.0,74.0,110114113205,上东廓村,Shangdongkuo Cun
75.0,75.0,320581100015,琴湖村,Qinhu Cun
76.0,76.0,110115111210,沁水营村,Qinshuiying Cun
77.0,77.0,210212400200,三洋村,Sanyang Cun
78.0,78.0,210212005202,三八里村,Sanbali Cun
79.0,79.0,330303001220,坦头村,Tantou Cun
80.0,80.0,610112002221,新店村,Xindian Cun
81.0,81.0,370983102210,北仪仙村,Beiyixian Cun
82.0,82.0,NULL,北良侯村,Beilianghou Cun
83.0,83.0,140522102202,柏沟村,Bogou Cun
84.0,84.0,451228204203,三力村,Sanli Cun
85.0,85.0,NULL,马鼻村,Mabi Cun
86.0,86.0,NULL,石䧱村,Shikuan Cun
87.0,87.0,341824102204,坦头村,Tantou Cun
88.0,88.0,120112102202,传字营村,Chuanziying Cun
89.0,89.0,120110005201,新立村,Xinli Cun
90.0,90.0,450902004208,高山村,Gaoshan Cun
91.0,91.0,530111008204,福保村,Fubao Cun
92.0,92.0,451226101002,上南村,Shangnan Cun
93.0,93.0,120113111206,霍庄子村,Huozhuangzi Cun
94.0,94.0,140521104201,长畛村,Changzhen Cun
95.0,95.0,510503109202,大河村,Dahe Cun
96.0,96.0,120111100216,大蒋庄村,Dajiangzhuang Cun
97.0,97.0,510131102212,插旗山村,Chaqishan Cun
98.0,98.0,530111001004,福德村,Fude Cun
99.0,99.0,532901108203,银桥村,Yinqiao Cun
100.0,100.0,640425101219,崖堡村,Yabao Cun
101.0,101.0,450222100206,龙台村,Longtai Cun
102.0,102.0,450222100208,洛古村,Luogu Cun
103.0,103.0,450222100215,吉兆村,Jizhao Cun
104.0,104.0,450222101208,码头村,Matou Cun
105.0,105.0,450222102205,黄宜村,Huangyi Cun
106.0,106.0,450222102212,山咀村,Shanzui Cun
107.0,107.0,450222103204,六广村,Liuguang Cun
108.0,108.0,450222104210,莫道村,Modao Cun
109.0,109.0,450222104215,走马村,Zouma Cun
110.0,110.0,450222104211,新龙村,Xinlong Cun
111.0,111.0,450222105201,二塘村,Ertang Cun
112.0,112.0,450222202202,社冲村,Shechong Cun
113.0,113.0,620123207201,东古城村,Donggucheng Cun
114.0,114.0,371324112209,涌泉村,Yongquan Cun
115.0,115.0,330602106202,荷湖村,Hehu Cun
116.0,116.0,520330201207,青峰村,Qingfeng Cun
117.0,117.0,231221203201,正蓝前二村,Zhenglanqianer Cun
118.0,118.0,420704001205,百子畈村,Baizifan Cun
119.0,119.0,421087112218,三堰淌村,Sanyantang Cun
120.0,120.0,150722106211,小库木尔村,Xiaokumuer Cun
121.0,121.0,469023101003,马村,Ma Cun
123.0,123.0,NULL,小三家子村,Xiaosanjiazi Cun
124.0,124.0,620121200201,复兴村,Fuxing Cun
125.0,125.0,430821100248,长见村,Changjian Cun
126.0,126.0,469023101213,文大村,Wenda Cun
127.0,127.0,NULL,浪营村,Langying Cun
128.0,128.0,330881118260,白沙村,Baisha Cun
129.0,129.0,632123103001,高庙村,Gaomiao Cun
130.0,130.0,632128200201,起台堡村,Qitaibao Cun
131.0,131.0,341522105216,双庄村,Shuangzhuang Cun
