gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,startYear_开始年,endYear_结束年,unitId_单位代码,data_数据
1,1,37,2008,2008,17,3232
1,1,38,2001,2001,12,2000
1,1,39,2000,2000,2,2565
1,1,39,2001,2001,2,2594
1,1,39,2008,2008,2,3000
2,2,2,1955,1955,4,6.9
2,2,2,1966,1966,4,8.25
2,2,2,1978,1978,4,17.9
2,2,2,1984,1984,4,572
2,2,2,2000,2000,4,749.5
2,2,2,2007,2007,4,1870.8
2,2,20,1993,1993,4,0.2
2,2,20,2000,2000,4,0.5
2,2,20,2002,2002,4,5
2,2,20,2005,2005,4,20
2,2,20,2006,2006,4,40
2,2,20,2007,2007,4,200
2,2,37,2007,2007,17,2851
2,2,38,1955,1955,21,49.65
2,2,38,1966,1966,21,69.51
2,2,38,1979,1979,21,228.08
2,2,38,2000,2000,21,256.59
2,2,39,1955,1955,2,39
2,2,39,1966,1966,2,42
2,2,39,1978,1978,2,85
2,2,39,1984,1984,2,263
2,2,39,1999,1999,2,2400
2,2,39,2000,2000,2,3022
2,2,39,2004,2004,2,4800
2,2,39,2007,2007,2,6000
2,2,40,2007,2007,1,35
3,3,2,2010,2010,4,1800
3,3,37,1982,1982,17,2150
3,3,37,1988,1988,17,2830
3,3,37,2002,2002,17,3140
3,3,37,2009,2009,17,3262.6
3,3,38,1984,1984,11,0.07
3,3,38,1992,1992,11,0.09
3,3,38,2002,2002,11,0.15
3,3,38,2010,2010,11,0.2
3,3,39,2010,2010,2,3250
4,4,20,1956,1956,4,19.21
4,4,20,1963,1963,4,16.24
4,4,20,1964,1964,4,20.44
4,4,20,1965,1965,4,29.41
4,4,20,1966,1966,4,31.45
4,4,20,1967,1967,4,32.15
4,4,20,1968,1968,4,37.47
4,4,20,1969,1969,4,39.99
4,4,20,1970,1970,4,41.43
4,4,20,1971,1971,4,45.9
4,4,20,1972,1972,4,51.26
4,4,20,1973,1973,4,49.81
4,4,20,1974,1974,4,51.36
4,4,20,1975,1975,4,51.17
4,4,20,1976,1976,4,58.99
4,4,20,1977,1977,4,61.23
4,4,20,1978,1978,4,72.48
4,4,20,1979,1979,4,114.44
4,4,20,1980,1980,4,108.52
4,4,20,1981,1981,4,96.56
4,4,20,1982,1982,4,82.61
4,4,20,1983,1983,4,156.82
4,4,20,1984,1984,4,167.3
4,4,20,1985,1985,4,297.18
4,4,20,1986,1986,4,329.5
4,4,20,1987,1987,4,440.17
4,4,20,1988,1988,4,608.22
4,4,20,1989,1989,4,690.58
4,4,20,1990,1990,4,737.13
4,4,20,1991,1991,4,825.59
4,4,20,1992,1992,4,1189
4,4,20,1993,1993,4,1411
4,4,20,1994,1994,4,1703
4,4,20,1995,1995,4,1949
4,4,20,1996,1996,4,2312
4,4,20,1997,1997,4,2689
4,4,20,1998,1998,4,3019
4,4,20,1999,1999,4,3297
4,4,20,2000,2000,4,3630
4,4,20,2001,2001,4,4126
4,4,20,2002,2002,4,4409
4,4,20,2003,2003,4,4596
4,4,20,2004,2004,4,4820
4,4,20,2005,2005,4,4962
4,4,20,2006,2006,4,5057
4,4,20,2007,2007,4,5315
4,4,37,1949,1949,17,5327
4,4,37,1991,1991,17,1150
4,4,37,1992,1992,17,972
4,4,37,1993,1993,17,756
4,4,37,1994,1994,17,694
4,4,37,1995,1995,17,476
4,4,37,1996,1996,17,429
4,4,37,1997,1997,17,365
4,4,37,1998,1998,17,319
4,4,37,1999,1999,17,161
4,4,37,2000,2000,17,73
4,4,37,2001,2001,17,51
4,4,37,2002,2002,17,16
4,4,37,2003,2003,17,0
4,4,39,1956,1956,2,71
4,4,39,1963,1963,2,70.74
4,4,39,1964,1964,2,83.44
4,4,39,1965,1965,2,113
4,4,39,1966,1966,2,110
4,4,39,1967,1967,2,116.2
4,4,39,1968,1968,2,131.64
4,4,39,1969,1969,2,129.9
4,4,39,1970,1970,2,128.25
4,4,39,1971,1971,2,139.7
4,4,39,1972,1972,2,147.62
4,4,39,1973,1973,2,136.37
4,4,39,1974,1974,2,137.22
4,4,39,1975,1975,2,123.28
4,4,39,1976,1976,2,139.32
4,4,39,1977,1977,2,146.53
4,4,39,1978,1978,2,174.98
4,4,39,1979,1979,2,221.49
4,4,39,1980,1980,2,223.04
4,4,39,1981,1981,2,188.53
4,4,39,1982,1982,2,169.69
4,4,39,1983,1983,2,321.38
4,4,39,1984,1984,2,375.86
4,4,39,1985,1985,2,469.38
4,4,39,1986,1986,2,614.16
4,4,39,1987,1987,2,969.96
4,4,39,1988,1988,2,1108.2
4,4,39,1989,1989,2,1137.32
4,4,39,1990,1990,2,1196.21
4,4,39,1991,1991,2,1433.67
4,4,39,1992,1992,2,2814
4,4,39,1993,1993,2,3430
4,4,39,1994,1994,2,4049
4,4,39,1995,1995,2,4717
4,4,39,1996,1996,2,5649
4,4,39,1997,1997,2,6515
4,4,39,1998,1998,2,7428
4,4,39,1999,1999,2,8118
4,4,39,2000,2000,2,8986
4,4,39,2001,2001,2,9618
4,4,39,2002,2002,2,10129
4,4,39,2003,2003,2,10418
4,4,39,2004,2004,2,11011
4,4,39,2005,2005,2,11317
4,4,39,2006,2006,2,11497
4,4,39,2007,2007,2,11997
4,4,40,1978,1978,1,12.12
4,4,40,2007,2007,1,109.57
5,5,39,1984,1984,2,561
5,5,39,1987,1987,2,602
5,5,39,1990,1990,2,815
5,5,39,1995,1995,2,1008
5,5,39,1997,1997,2,1290
5,5,39,2000,2000,2,1860
5,5,39,2003,2003,2,2200
5,5,43,1977,1977,20,60
