gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,year_年份
1,1,6,1969
1,1,8,1956
2,2,5,1962
2,2,6,1966
3,3,5,1979
4,4,5,1955
4,4,7,1955
5,5,4,1979
5,5,5,1972
5,5,7,1999
6,6,5,1966
6,6,6,1972
6,6,7,1957
6,6,8,1965
7,7,5,1961
8,8,6,1987
8,8,8,1968
9,9,4,1980
9,9,6,1981
10,10,8,1958
12,12,4,1983
12,12,6,1971
12,12,7,1958
13,13,6,1979
13,13,8,1958
14,14,6,1984
14,14,7,1952
14,14,8,1957
15,15,6,1976
17,17,4,1986
17,17,7,1956
18,18,5,1968
19,19,4,1981
19,19,5,1965
19,19,8,1958
20,20,4,1989
20,20,5,1957
20,20,7,1958
21,21,4,1986
21,21,5,1962
22,22,4,2005
22,22,5,1977
22,22,6,1980
22,22,8,1968
23,23,4,1992
23,23,5,1958
24,24,4,1986
24,24,5,1972
25,25,5,1957
25,25,6,1977
25,25,8,1958
26,26,4,1995
26,26,5,1963
27,27,4,2004
28,28,4,2000
28,28,5,1974
29,29,4,2000
29,29,5,1998
29,29,6,1998
31,31,4,1950
31,31,5,1950
31,31,6,1974
32,32,1,1991
32,32,2,2002
32,32,3,2005
32,32,4,1987
32,32,5,1959
32,32,7,1981
32,32,8,1956
34,34,5,1968
35,35,4,2000
35,35,6,2002
35,35,7,1992
36,36,4,2004
36,36,5,1962
37,37,4,1967
37,37,5,1953
37,37,7,1970
38,38,5,1968
40,40,6,2003
41,41,5,1966
41,41,6,1981
41,41,8,1984
42,42,1,1995
42,42,4,1986
42,42,5,1958
42,42,8,1956
43,43,4,1971
43,43,5,1959
44,44,5,1970
44,44,6,1981
44,44,7,1986
44,44,8,1956
45,45,6,1987
45,45,8,1957
46,46,4,1985
47,47,4,1985
47,47,5,1963
47,47,8,1961
48,48,4,1990
48,48,5,1958
48,48,6,1975
48,48,8,1958
49,49,4,1979
49,49,5,1964
49,49,7,1957
51,51,7,1950
52,52,4,1987
52,52,5,1968
53,53,3,2006
53,53,4,1988
53,53,5,1967
54,54,5,1964
54,54,7,1960
54,54,8,1959
55,55,4,1982
55,55,5,1966
56,56,4,2004
56,56,5,1958
57,57,4,2002
57,57,5,1990
57,57,6,1991
57,57,7,1998
57,57,8,1970
58,58,4,1985
58,58,5,1960
58,58,7,1992
59,59,4,2000
59,59,5,1969
59,59,6,1979
59,59,7,2001
60,60,8,1955
61,61,4,1958
61,61,5,1988
61,61,6,1994
62,62,5,1961
62,62,7,1984
63,63,4,1995
63,63,5,1971
63,63,6,1984
63,63,7,1956
63,63,8,1957
64,64,5,1957
64,64,6,1995
64,64,7,1958
64,64,8,1971
65,65,5,1961
65,65,6,1980
65,65,7,1961
65,65,8,1964
66,66,4,1982
66,66,5,1969
66,66,8,1958
67,67,4,1977
67,67,5,1961
71,71,4,1983
71,71,5,1960
71,71,6,1980
71,71,7,1991
72,72,5,1961
72,72,6,1980
72,72,7,1964
72,72,8,1964
73,73,4,1988
73,73,6,1978
73,73,7,1987
73,73,8,1958
74,74,4,1984
74,74,5,1961
74,74,6,1977
74,74,7,1994
74,74,8,1958
76,76,4,1987
76,76,5,1961
76,76,6,1972
76,76,7,1988
76,76,8,1970
77,77,4,1985
77,77,5,1967
77,77,8,1956
78,78,4,1984
78,78,6,1981
78,78,7,1984
78,78,8,1958
80,80,4,1979
81,81,4,1994
81,81,5,1962
81,81,6,1975
81,81,7,1960
81,81,8,1961
82,82,5,1972
82,82,6,1985
83,83,4,1987
83,83,5,1974
83,83,6,1983
83,83,7,1958
83,83,8,1958
84,84,4,2003
86,86,5,1977
86,86,6,1995
87,87,4,1999
87,87,5,1980
87,87,6,1981
87,87,7,1956
88,88,4,1983
88,88,5,1961
88,88,6,1992
88,88,7,1958
88,88,8,1960
89,89,3,1987
89,89,4,1975
89,89,7,1953
89,89,8,1957
90,90,4,2002
90,90,5,1970
90,90,6,1981
91,91,4,1980
91,91,5,1958
92,92,4,2007
92,92,5,1977
93,93,7,1958
94,94,2,2006
94,94,4,2005
95,95,7,1958
96,96,4,1975
96,96,5,1956
96,96,8,1965
97,97,4,2001
97,97,5,1983
97,97,6,1983
97,97,7,1952
97,97,8,1967
98,98,4,1982
98,98,5,1965
98,98,6,1978
100,100,5,1989
106,106,6,2006
106,106,7,2006
113,113,4,2009
113,113,5,1973
113,113,6,1981
113,113,8,1956
114,114,4,2006
114,114,5,1977
115,115,4,1987
115,115,5,1962
115,115,6,1982
115,115,7,1957
115,115,8,1957
116,116,5,1982
117,117,5,1970
118,118,4,1967
118,118,5,1959
119,119,8,1956
120,120,4,2000
120,120,5,1983
121,121,5,1987
121,121,6,1988
121,121,7,1955
121,121,8,1958
123,123,5,1957
123,123,7,1974
124,124,5,1967
124,124,6,1980
124,124,7,1994
125,125,5,1977
125,125,8,1969
126,126,4,1985
126,126,5,1988
127,127,5,1980
127,127,8,1956
128,128,4,1981
128,128,5,1968
128,128,6,1987
128,128,8,1965
129,129,5,1965
129,129,7,1952
129,129,8,1956
131,131,8,2014
132,132,4,1990
132,132,5,1967
132,132,7,1958
132,132,8,1956
133,133,2,1986
133,133,3,2006
133,133,4,1950
133,133,8,1958
134,134,5,1975
134,134,7,1996
135,135,4,2003
135,135,5,1966
136,136,4,2012
138,138,5,1974
138,138,6,1986
138,138,7,1995
139,139,4,2002
139,139,5,1993
140,140,4,2004
141,141,4,1985
141,141,5,1961
141,141,6,1976
141,141,7,2000
141,141,8,1961
142,142,4,2005
142,142,8,1956
143,143,4,1995
143,143,7,1965
144,144,4,1998
144,144,5,1973
144,144,6,1980
144,144,7,1992
144,144,8,1963
145,145,4,1978
145,145,5,1971
145,145,7,1992
145,145,8,1970
146,146,5,1987
146,146,7,1999
146,146,8,1970
147,147,4,1997
147,147,6,1998
147,147,7,1997
148,148,4,2010
148,148,5,1966
149,149,4,1978
149,149,5,1961
149,149,8,1970
150,150,4,1997
150,150,5,1975
150,150,8,1970
151,151,4,1976
151,151,5,1959
151,151,6,1977
151,151,7,1957
151,151,8,1967
153,153,5,1969
153,153,6,1984
153,153,7,1956
153,153,8,1956
154,154,4,1976
154,154,5,1971
154,154,6,1976
154,154,7,1958
154,154,8,1964
156,156,4,1976
156,156,6,1981
156,156,7,1958
156,156,8,1956
157,157,3,1986
157,157,4,1992
157,157,6,1992
157,157,8,1956
158,158,2,2006
158,158,4,1998
158,158,5,1963
158,158,6,1980
158,158,8,1965
159,159,5,1957
159,159,6,1976
159,159,7,1958
159,159,8,1956
160,160,4,1975
160,160,5,1960
160,160,8,1965
161,161,5,1972
162,162,5,1992
162,162,6,1985
164,164,4,1993
164,164,5,1975
164,164,6,1987
164,164,7,1999
165,165,4,2000
165,165,5,1965
165,165,6,1986
165,165,7,1968
165,165,8,1968
166,166,4,1970
166,166,5,1959
167,167,4,1982
167,167,5,1960
168,168,4,2002
169,169,7,1962
170,170,4,1998
170,170,5,1959
170,170,6,1977
170,170,7,1956
170,170,8,1959
171,171,5,1984
171,171,6,1999
171,171,8,1978
172,172,5,1974
172,172,6,1982
172,172,7,1959
172,172,8,1957
173,173,5,1980
173,173,6,1985
173,173,7,1950
173,173,8,1959
174,174,2,1992
174,174,5,1961
174,174,7,1955
174,174,8,1956
176,176,4,2015
176,176,5,1986
176,176,7,1960
176,176,8,1965
177,177,4,1965
177,177,5,1966
177,177,7,1961
178,178,1,1983
178,178,3,2014
179,179,4,1978
179,179,5,1975
179,179,8,1966
180,180,4,1959
180,180,6,1975
180,180,7,1956
180,180,8,1969
181,181,5,1962
183,183,5,1971
185,185,6,1984
185,185,8,1967
186,186,1,2000
186,186,5,1977
186,186,6,1990
186,186,7,2000
187,187,4,1985
187,187,5,1962
188,188,5,1974
188,188,6,1978
189,189,5,1962
189,189,6,1971
190,190,4,1997
190,190,5,1964
190,190,7,1970
190,190,8,1968
191,191,4,1995
191,191,5,1964
191,191,7,1957
192,192,5,1958
193,193,4,2000
194,194,4,1986
194,194,5,1965
194,194,6,1982
194,194,7,1987
194,194,8,1964
196,196,4,2003
196,196,5,1984
196,196,7,1956
197,197,4,1993
197,197,5,1963
197,197,6,1981
197,197,7,1996
198,198,5,1991
198,198,7,1958
199,199,4,1995
199,199,7,1958
199,199,8,1958
200,200,4,1965
200,200,5,1959
200,200,8,1976
201,201,4,1997
201,201,6,1978
201,201,7,1959
201,201,8,1965
203,203,4,1970
203,203,5,1952
204,204,6,1984
204,204,8,1967
205,205,7,1958
205,205,8,1957
206,206,4,1987
206,206,5,1967
207,207,5,1968
207,207,7,1958
208,208,4,1987
208,208,5,1966
208,208,8,1971
209,209,4,1980
209,209,5,1965
209,209,6,1980
210,210,6,1977
210,210,8,1965
211,211,4,1998
212,212,5,1970
212,212,8,1975
213,213,5,1978
216,216,3,2010
217,217,6,1982
218,218,1,1989
218,218,3,2005
218,218,4,1985
218,218,5,1962
218,218,7,1958
219,219,5,1974
220,220,4,2005
220,220,5,2007
221,221,4,1991
221,221,5,1960
221,221,8,1958
222,222,4,1973
222,222,5,1961
222,222,6,1962
222,222,7,1962
222,222,8,1964
223,223,1,1997
224,224,5,1964
226,226,4,1992
228,228,4,1998
228,228,8,1958
229,229,5,1963
229,229,8,1973
230,230,5,1967
231,231,5,1967
231,231,8,1984
233,233,4,1961
234,234,4,1984
234,234,5,1965
