gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,startYear_开始年,endYear_结束年,unitId_单位代码,data_数据
1,1,8,1950,1950,4,3
1,1,9,1950,1950,4,8
1,1,10,1950,1950,4,5
2,2,3,2008,2008,1,8
2,2,4,2008,2008,1,77
2,2,12,1949,2007,1,46
3,3,3,1957,2009,1,5
3,3,3,2011,2011,1,7
3,3,4,1957,2009,1,57
3,3,4,2011,2011,1,55
3,3,5,1957,2009,1,52
3,3,5,2011,2011,1,48
3,3,6,1957,2009,1,19
3,3,6,2011,2011,1,19
3,3,12,1949,2009,1,69
4,4,3,2007,2007,1,6
4,4,4,2007,2007,1,51
4,4,5,2007,2007,1,45
4,4,8,1949,1949,4,107
4,4,9,1949,1949,4,11
4,4,10,1949,1949,4,24
4,4,11,1949,1949,4,208
5,5,14,1949,1949,1,1
5,5,14,1950,1950,1,0
5,5,14,1951,1951,1,0
5,5,14,1952,1952,1,0
5,5,14,1953,1953,1,0
5,5,14,1954,1954,1,0
5,5,14,1955,1955,1,0
5,5,14,1956,1956,1,0
5,5,14,1957,1957,1,0
5,5,14,1958,1958,1,0
5,5,14,1959,1959,1,0
5,5,14,1960,1960,1,0
5,5,14,1961,1961,1,0
5,5,14,1962,1962,1,0
5,5,14,1963,1963,1,0
5,5,14,1964,1964,1,0
5,5,14,1965,1965,1,0
5,5,14,1966,1966,1,0
5,5,14,1967,1967,1,0
5,5,14,1968,1968,1,0
5,5,14,1969,1969,1,0
5,5,14,1970,1970,1,0
5,5,14,1971,1971,1,0
5,5,14,1972,1972,1,0
5,5,14,1973,1973,1,0
5,5,14,1974,1974,1,1
5,5,14,1975,1975,1,0
5,5,14,1976,1976,1,0
5,5,14,1977,1977,1,0
5,5,14,1978,1978,1,0
5,5,14,1979,1979,1,0
5,5,14,1980,1980,1,0
5,5,14,1981,1981,1,0
5,5,14,1982,1982,1,0
5,5,14,1983,1983,1,0
5,5,14,1984,1984,1,0
5,5,14,1985,1985,1,1
5,5,14,1986,1986,1,0
5,5,14,1987,1987,1,0
5,5,14,1988,1988,1,1
5,5,14,1989,1989,1,0
5,5,14,1990,1990,1,0
5,5,14,1991,1991,1,0
5,5,14,1992,1992,1,0
5,5,14,1993,1993,1,0
5,5,14,1994,1994,1,0
