gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,unitId_单位代码,data_数据
1,1,1,3,NULL
1,1,2,2,700
1,1,3,1,14
3,3,1,3,1225
3,3,2,2,1279.8
3,3,3,1,15
4,4,1,3,NULL
4,4,2,2,1310
4,4,3,1,21.6
5,5,1,3,NULL
5,5,2,2,529.7
5,5,3,1,12.2
6,6,1,3,61
6,6,2,2,NULL
6,6,3,1,12.7
7,7,1,3,NULL
7,7,2,2,543.6
7,7,3,1,11.5
8,8,1,3,1600
8,8,2,2,2963
8,8,3,1,15.7
9,9,1,3,NULL
9,9,2,2,534.7
9,9,3,1,13
10,10,1,3,NULL
10,10,2,2,600
10,10,3,1,NULL
11,11,1,3,NULL
11,11,2,2,1790
11,11,3,1,22
12,12,1,3,NULL
12,12,2,2,480
12,12,3,1,NULL
13,13,1,3,NULL
13,13,2,2,210.7
13,13,3,1,13.7
14,14,1,3,NULL
14,14,2,2,500
14,14,3,1,12
16,16,1,3,NULL
16,16,2,2,1948.4
16,16,3,1,22.4
17,17,1,3,34.3
17,17,2,2,644.2
17,17,3,1,11.4
18,18,1,3,NULL
18,18,2,2,865.4
18,18,3,1,11.6
19,19,1,3,NULL
19,19,2,2,1171.7
19,19,3,1,NULL
20,20,1,3,NULL
20,20,2,2,569.4
20,20,3,1,NULL
21,21,1,3,NULL
21,21,2,2,650
21,21,3,1,NULL
22,22,1,3,NULL
22,22,2,2,710
22,22,3,1,13.2
23,23,1,3,128
23,23,2,2,1660
23,23,3,1,19.3
24,24,1,3,NULL
24,24,2,2,1926.7
24,24,3,1,22
26,26,1,3,NULL
26,26,2,2,1217.9
26,26,3,1,21.8
29,29,1,3,NULL
29,29,2,2,400
29,29,3,1,NULL
30,30,1,3,1350
30,30,2,2,1365
30,30,3,1,14
31,31,1,3,NULL
31,31,2,2,571.5
31,31,3,1,13.2
32,32,1,3,NULL
32,32,2,2,1114.7
32,32,3,1,15.5
34,34,1,3,NULL
34,34,2,2,570.4
34,34,3,1,5.7
35,35,1,3,NULL
35,35,2,2,1411
35,35,3,1,21
36,36,1,3,NULL
36,36,2,2,1000
36,36,3,1,15.5
37,37,1,3,NULL
37,37,2,2,679.1
37,37,3,1,13.45
40,40,1,3,NULL
40,40,2,2,1348.3
40,40,3,1,16.7
41,41,1,3,33
41,41,2,2,1750
41,41,3,1,23.5
42,42,1,3,NULL
42,42,2,2,NULL
42,42,3,1,16
44,44,1,3,53
44,44,2,2,634.3
44,44,3,1,13.7
45,45,1,3,1357
45,45,2,2,NULL
45,45,3,1,NULL
47,47,1,3,NULL
47,47,2,2,NULL
47,47,3,1,16.18
48,48,1,3,88.5
48,48,2,2,NULL
48,48,3,1,11.8
49,49,1,3,20
49,49,2,2,1434.2
