gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,startYear_开始年,endYear_结束年,unitId_单位代码,data_数据
1,1,2,2001,2001,1,3218
1,1,2,2008,2008,1,3287
1,1,9,2008,2008,1,802
1,1,26,1965,1965,1,36
2,2,2,1949,1953,1,1245
2,2,2,1980,1983,1,2658
2,2,2,2007,2007,1,3118
2,2,3,1949,1953,1,578
2,2,3,1980,1983,1,1381
2,2,3,2007,2007,1,1622
2,2,4,1949,1953,1,667
2,2,4,1980,1983,1,1277
2,2,4,2007,2007,1,1496
2,2,8,2006,2006,1,38
2,2,9,1949,1953,1,282
2,2,9,1980,1983,1,729
2,2,9,2001,2001,1,667
2,2,9,2007,2007,1,980
2,2,20,2006,2006,1,448
2,2,26,1969,1969,1,104
3,3,2,1953,1953,1,800
3,3,2,1964,1964,1,1000
3,3,2,1982,1982,1,1250
3,3,2,1992,1992,1,1385
3,3,2,2000,2000,1,1425
3,3,2,2010,2010,1,1612
3,3,3,2010,2010,1,812
3,3,4,2010,2010,1,800
3,3,9,1953,1953,1,121
3,3,9,1964,1964,1,186
3,3,9,1982,1982,1,250
3,3,9,1992,1992,1,285
3,3,9,2000,2000,1,305
3,3,9,2010,2010,1,428
3,3,22,1961,1963,3,38
3,3,22,1966,1976,3,35
3,3,22,1977,1977,3,26
3,3,22,2009,2009,3,6.8
3,3,24,1961,1970,3,33.1
3,3,24,2005,2005,3,11.8
3,3,24,2008,2008,3,9.8
3,3,24,2009,2009,3,6.9
4,4,2,1949,1949,1,1364
4,4,2,1950,1950,1,1397
4,4,2,1953,1953,1,1392
4,4,2,1956,1956,1,1652
4,4,2,1957,1957,1,1748
4,4,2,1962,1962,1,1752
4,4,2,1963,1963,1,1778
4,4,2,1964,1964,1,1709
4,4,2,1965,1965,1,1805
4,4,2,1966,1966,1,1844
4,4,2,1967,1967,1,1851
4,4,2,1968,1968,1,1931
4,4,2,1969,1969,1,1993
4,4,2,1970,1970,1,2046
4,4,2,1971,1971,1,2136
4,4,2,1972,1972,1,2169
4,4,2,1973,1973,1,2227
4,4,2,1974,1974,1,2262
4,4,2,1975,1975,1,2293
4,4,2,1976,1976,1,2291
4,4,2,1977,1977,1,2310
4,4,2,1978,1978,1,2330
4,4,2,1979,1979,1,2354
4,4,2,1980,1980,1,2295
4,4,2,1981,1981,1,2407
4,4,2,1982,1982,1,2356
4,4,2,1983,1983,1,2576
4,4,2,1984,1984,1,2619
4,4,2,1985,1985,1,2590
4,4,2,1986,1986,1,2732
4,4,2,1987,1987,1,2820
4,4,2,1988,1988,1,2948
4,4,2,1989,1989,1,3014
4,4,2,1990,1990,1,3121
4,4,2,1991,1991,1,3174
4,4,2,1992,1992,1,3215
4,4,2,1993,1993,1,3230
4,4,2,1994,1994,1,3284
4,4,2,1995,1995,1,3379
4,4,2,1996,1996,1,3436
4,4,2,1997,1997,1,3493
4,4,2,1998,1998,1,3547
4,4,2,1999,1999,1,3526
4,4,2,2000,2000,1,3571
4,4,2,2001,2001,1,3672
4,4,2,2002,2002,1,3716
4,4,2,2003,2003,1,3777
4,4,2,2004,2004,1,3819
4,4,2,2005,2005,1,3852
4,4,2,2006,2006,1,3886
4,4,2,2007,2007,1,3967
4,4,3,1949,1949,1,640
4,4,3,1953,1953,1,644
4,4,3,1964,1964,1,812
4,4,3,1982,1982,1,1076
4,4,3,1990,1990,1,1405
4,4,3,2000,2000,1,1684
4,4,3,2007,2007,1,1802
4,4,4,1949,1949,1,724
4,4,4,1953,1953,1,748
4,4,4,1964,1964,1,897
4,4,4,1982,1982,1,1280
4,4,4,1990,1990,1,1693
4,4,4,2000,2000,1,1887
4,4,4,2007,2007,1,2165
4,4,8,1987,1987,1,50
4,4,8,1988,1988,1,31
4,4,8,1989,1989,1,39
4,4,8,1990,1990,1,28
4,4,8,1991,1991,1,40
4,4,8,1992,1992,1,141
4,4,8,1993,1993,1,137
4,4,8,1994,1994,1,188
4,4,8,1995,1995,1,187
4,4,8,1996,1996,1,219
4,4,8,1997,1997,1,215
4,4,8,1998,1998,1,209
4,4,8,1999,1999,1,208
4,4,8,2000,2000,1,134
4,4,8,2001,2001,1,163
4,4,8,2002,2002,1,182
4,4,8,2003,2003,1,202
4,4,8,2004,2004,1,204
4,4,8,2005,2005,1,172
4,4,8,2006,2006,1,117
4,4,8,2007,2007,1,95
4,4,9,1949,1949,1,269
4,4,9,1953,1953,1,278
4,4,9,1964,1964,1,427
4,4,9,1982,1982,1,785
4,4,9,1990,1990,1,1025
4,4,9,2000,2000,1,1108
4,4,9,2007,2007,1,1231
4,4,10,1987,1987,1,14
4,4,10,1988,1988,1,17
4,4,10,1989,1989,1,14
4,4,10,1990,1990,1,23
4,4,10,1991,1991,1,15
4,4,10,1992,1992,1,6
4,4,10,1993,1993,1,3
4,4,10,1994,1994,1,6
4,4,10,1995,1995,1,4
