gazetteer code,village inner id,first last name id,second last name id,third last name id,fourth last name id,fifth last name id,total number
384.0,384.0,16.0,47.0,39.0,,313.0,28.0
1501.0,1501.0,7.0,197.0,9.0,3.0,74.0,118.0
1503.0,1503.0,6.0,,,,,16.0
1504.0,1504.0,8.0,3.0,9.0,61.0,185.0,11.0
1505.0,1505.0,3.0,174.0,14.0,85.0,8.0,72.0
1507.0,1507.0,2.0,70.0,9.0,105.0,31.0,48.0
1508.0,1508.0,16.0,87.0,9.0,25.0,6.0,126.0
1509.0,1509.0,3.0,8.0,9.0,16.0,129.0,91.0
1511.0,1511.0,196.0,73.0,3.0,17.0,39.0,22.0
1516.0,1516.0,21.0,201.0,275.0,9.0,8.0,61.0
,,,,,,,
,,,,,,,
