gazetteerName,gazetteerId,category1,category2,startYear,endYear,data,unit
枫树岗村志,288,共产党员 CCP Membership,女 Female,2003,2003,4.0,人数 Number of People
枫树岗村志,288,共产党员 CCP Membership,女 Female,2013,2013,14.0,人数 Number of People
枫树岗村志,288,共产党员 CCP Membership,总 Total,2003,2003,51.0,人数 Number of People
枫树岗村志,288,共产党员 CCP Membership,总 Total,2013,2013,62.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1952,1952,3.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1953,1953,2.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1954,1954,6.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1955,1955,3.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1956,1956,2.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1958,1958,3.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1959,1959,3.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1960,1960,3.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1965,1965,2.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1966,1966,6.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1972,1972,3.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1973,1973,2.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1980,1980,1.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1982,1982,1.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1988,1988,2.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1991,1991,1.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1992,1992,1.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,1998,1998,1.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,2003,2003,3.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,2004,2004,1.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,2005,2005,1.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,2006,2006,1.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,2007,2007,1.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,2010,2010,1.0,人数 Number of People
枫树岗村志,288,新党员 New CCP Membership,总 Total,2012,2012,1.0,人数 Number of People
