gazetteerName,gazetteerId,category1,category2,category3,startYear,endYear,data,unit
井亭村志,32,集体经济收入 Collective Economic Income,总 Total,null,1995,1995,1213.1,万元 10K yuan
井亭村志,32,集体经济收入 Collective Economic Income,第二产业 Secondary Industry,null,1986,1986,264394.0,元 yuan
井亭村志,32,集体经济收入 Collective Economic Income,种植业 Agriculture,null,1986,1986,1374680.0,元 yuan
井亭村志,32,集体经济收入 Collective Economic Income,牧业 Animal Husbandry,null,1986,1986,2093740.0,元 yuan
井亭村志,32,集体经济收入 Collective Economic Income,副业 Miscellaneous,null,1986,1986,1250.0,元 yuan
井亭村志,32,集体经济收入 Collective Economic Income,副业 Miscellaneous,仓储业 Warehouse,1986,1986,865226.0,元 yuan
井亭村志,32,耕地面积 Cultivated Area,null,null,1982,1982,2378.12,亩 mu
井亭村志,32,耕地面积 Cultivated Area,null,null,2000,2000,0.0,亩 mu
井亭村志,32,人均收入 Per Capita Income,null,null,1956,1956,121.0,元 yuan
井亭村志,32,人均收入 Per Capita Income,null,null,1958,1958,165.0,元 yuan
井亭村志,32,人均收入 Per Capita Income,null,null,1969,1969,365.27,元 yuan
井亭村志,32,人均收入 Per Capita Income,null,null,1970,1979,440.88,元 yuan
井亭村志,32,人均收入 Per Capita Income,null,null,1990,1990,1608.0,元 yuan
井亭村志,32,人均收入 Per Capita Income,null,null,1997,1997,2849.0,元 yuan
