gazetteerName,gazetteerId,category1,category2,startYear,endYear,data,unit
王兰庄村志,546,受教育程度 Highest Level of Education,中专高中 High School,1964,1964,1.7,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,中专高中 High School,1995,1995,4.7,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,中专高中 High School,2016,2016,50.4,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,初中 Junior High School,1964,1964,9.5,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,初中 Junior High School,1995,1995,31.1,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,初中 Junior High School,2016,2016,13.9,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,大专以上 College/University or Higher,1964,1964,0.3,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,大专以上 College/University or Higher,1995,1995,0.3,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,大专以上 College/University or Higher,2016,2016,11.5,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,小学 Elementary School,1964,1964,50.9,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,小学 Elementary School,1995,1995,34.7,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,小学 Elementary School,2016,2016,10.9,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,文盲 Illiterate,1964,1964,23.8,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,文盲 Illiterate,1995,1995,22.7,百分比 (%) percentage
王兰庄村志,546,受教育程度 Highest Level of Education,文盲 Illiterate,2016,2016,3.6,百分比 (%) percentage
王兰庄村志,546,小学在校生 Elementary School Students,null,1949,1949,302.0,无记录 No record
王兰庄村志,546,小学在校生 Elementary School Students,null,1979,1979,912.0,无记录 No record
王兰庄村志,546,小学老师 Elementary School Teachers,null,1949,1949,8.0,无记录 No record
王兰庄村志,546,小学老师 Elementary School Teachers,null,1979,1979,45.0,无记录 No record
王兰庄村志,546,小学老师 Elementary School Teachers,null,1998,1998,70.0,无记录 No record
